Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
RGB41,SK6812_Mini_E,SK6812_Mini_E,157.1625,-86.042499,0,bottom
RGB42,SK6812_Mini_E,SK6812_Mini_E,138.1125,-86.042499,0,bottom
RGB43,SK6812_Mini_E,SK6812_Mini_E,119.0625,-86.042499,0,bottom
RGB44,SK6812_Mini_E,SK6812_Mini_E,100.0125,-86.042499,0,bottom
RGB45,SK6812_Mini_E,SK6812_Mini_E,80.9625,-86.042499,0,bottom
RGB46,SK6812_Mini_E,SK6812_Mini_E,61.9125,-86.042499,0,bottom
RGB47,SK6812_Mini_E,SK6812_Mini_E,42.8625,-86.042499,0,bottom
RGB48,SK6812_Mini_E,SK6812_Mini_E,11.90625,-86.042499,0,bottom
RGB5,SK6812_Mini_E,SK6812_Mini_E,204.7875,-5.079999,0,bottom
RGB52,SK6812_Mini_E,SK6812_Mini_E,309.5625,-86.042499,0,bottom
RGB6,SK6812_Mini_E,SK6812_Mini_E,223.8375,-5.079999,0,bottom
RGB7,SK6812_Mini_E,SK6812_Mini_E,242.8875,-5.079999,0,bottom
RGB8,SK6812_Mini_E,SK6812_Mini_E,123.825,-5.079999,0,bottom
RGB9,SK6812_Mini_E,SK6812_Mini_E,142.875,-5.079999,0,bottom
RGBF1,SK6812_Mini_E,SK6812_Mini_E_REV,0,-28.8925,0,bottom
RGBF10,SK6812_Mini_E,SK6812_Mini_E_REV,171.45,-28.8925,0,bottom
RGBF11,SK6812_Mini_E,SK6812_Mini_E_REV,190.5,-28.8925,0,bottom
RGBF12,SK6812_Mini_E,SK6812_Mini_E_REV,209.55,-28.8925,0,bottom
RGBF13,SK6812_Mini_E,SK6812_Mini_E_REV,228.6,-28.8925,0,bottom
RGBF14,SK6812_Mini_E,SK6812_Mini_E_REV,257.175,-28.8925,0,bottom
RGBF15,SK6812_Mini_E,SK6812_Mini_E_REV,290.5125,-28.8925,0,bottom
RGBF16,SK6812_Mini_E,SK6812_Mini_E_REV,309.5625,-28.8925,0,bottom
RGBF17,SK6812_Mini_E,SK6812_Mini_E_REV,328.6125,-28.8925,0,bottom
RGBF18,SK6812_Mini_E,SK6812_Mini_E_REV,7.14375,-66.9925,0,bottom
RGBF19,SK6812_Mini_E,SK6812_Mini_E_REV,33.3375,-66.9925,0,bottom
RGBF2,SK6812_Mini_E,SK6812_Mini_E_REV,19.05,-28.8925,0,bottom
RGBF20,SK6812_Mini_E,SK6812_Mini_E_REV,52.3875,-66.9925,0,bottom
RGBF21,SK6812_Mini_E,SK6812_Mini_E_REV,71.4375,-66.9925,0,bottom
RGBF22,SK6812_Mini_E,SK6812_Mini_E_REV,90.4875,-66.9925,0,bottom
RGBF23,SK6812_Mini_E,SK6812_Mini_E_REV,109.5375,-66.9925,0,bottom
RGBF24,SK6812_Mini_E,SK6812_Mini_E_REV,128.5875,-66.9925,0,bottom
RGBF25,SK6812_Mini_E,SK6812_Mini_E_REV,147.6375,-66.9925,0,bottom
RGBF26,SK6812_Mini_E,SK6812_Mini_E_REV,166.6875,-66.9925,0,bottom
RGBF27,SK6812_Mini_E,SK6812_Mini_E_REV,185.7375,-66.9925,0,bottom
RGBF28,SK6812_Mini_E,SK6812_Mini_E_REV,204.7875,-66.9925,0,bottom
RGBF29,SK6812_Mini_E,SK6812_Mini_E_REV,223.8375,-66.9925,0,bottom
RGBF3,SK6812_Mini_E,SK6812_Mini_E_REV,38.1,-28.8925,0,bottom
RGBF30,SK6812_Mini_E,SK6812_Mini_E_REV,254.79375,-66.9925,0,bottom
RGBF31,SK6812_Mini_E,SK6812_Mini_E_REV,290.5125,-105.0925,0,bottom
RGBF32,SK6812_Mini_E,SK6812_Mini_E_REV,309.5625,-105.0925,0,bottom
RGBF33,SK6812_Mini_E,SK6812_Mini_E_REV,328.6125,-105.0925,0,bottom
RGBF34,SK6812_Mini_E,SK6812_Mini_E_REV,214.3125,-105.0925,0,bottom
RGBF35,SK6812_Mini_E,SK6812_Mini_E_REV,238.125,-105.0925,0,bottom
RGBF36,SK6812_Mini_E,SK6812_Mini_E_REV,261.9375,-105.0925,0,bottom
RGBF37,SK6812_Mini_E,SK6812_Mini_E_REV,4.7625,-105.0925,0,bottom
RGBF38,SK6812_Mini_E,SK6812_Mini_E_REV,28.575,-105.0925,0,bottom
RGBF39,SK6812_Mini_E,SK6812_Mini_E_REV,52.3875,-105.0925,0,bottom
RGBF4,SK6812_Mini_E,SK6812_Mini_E_REV,57.15,-28.8925,0,bottom
RGBF40,SK6812_Mini_E,SK6812_Mini_E_REV,133.35,-105.0925,0,bottom
RGBF5,SK6812_Mini_E,SK6812_Mini_E_REV,76.2,-28.8925,0,bottom
RGBF6,SK6812_Mini_E,SK6812_Mini_E_REV,95.25,-28.8925,0,bottom
RGBF7,SK6812_Mini_E,SK6812_Mini_E_REV,114.3,-28.8925,0,bottom
RGBF8,SK6812_Mini_E,SK6812_Mini_E_REV,133.35,-28.8925,0,bottom
RGBF9,SK6812_Mini_E,SK6812_Mini_E_REV,152.4,-28.8925,0,bottom
SW1,SW_Push,SW_Push_SPST_NO_Alps_SKRK,307.495293,-67.07502,0,bottom
SW2,SW_Push,SW_Push_SPST_NO_Alps_SKRK,307.495293,-72.67502,0,bottom
U1,SLSS49E-3,SLSS49E_MX_1U,0,-0.02,0,bottom
U10,SLSS49E-3,SLSS49E_MX_1U,0,-23.8325,0,bottom
U101,STM32G474CETx,LQFP-48_7x7mm_P0.5mm,286.345293,-66.67502,90,bottom
U102,W25Q16JVSS,SOIC-8_5.23x5.23mm_P1.27mm,298.595293,-70.42502,180,bottom
U11,SLSS49E-3,SLSS49E_MX_1.5U,4.7625,-42.8825,0,bottom
U12,SLSS49E-3,SLSS49E_MX_1.75U,7.14375,-61.9325,0,bottom
U13,SLSS49E-3,SLSS49E_MX_1U,61.9125,-0.02,0,bottom
U14,SLSS49E-3,SLSS49E_MX_1U,80.9625,-0.02,0,bottom
U15,CD74HC4067SM,TSSOP-24_4.4x7.8mm_P0.65mm,100.0125,-55.959375,180,bottom
U16,SLSS49E-3,SLSS49E_MX_1U,19.05,-23.8325,0,bottom
U17,SLSS49E-3,SLSS49E_MX_1U,28.575,-42.8825,0,bottom
U18,SLSS49E-3,SLSS49E_MX_1U,33.3375,-61.9325,0,bottom
U2,SLSS49E-3,SLSS49E_MX_1U,23.8125,-0.02,0,bottom
U20,SLSS49E-3,SLSS49E_MX_1U,104.775,-0.02,0,bottom
U21,CD74HC4067SM,TSSOP-24_4.4x7.8mm_P0.65mm,20.240625,-55.959375,180,bottom
U22,SLSS49E-3,SLSS49E_MX_1U,38.1,-23.8325,0,bottom
U23,SLSS49E-3,SLSS49E_MX_1U,47.625,-42.8825,0,bottom
U24,SLSS49E-3,SLSS49E_MX_1U,52.3875,-61.9325,0,bottom
U25,SLSS49E-3,SLSS49E_MX_1U,42.8625,-80.9825,0,bottom
U26,SLSS49E-3,SLSS49E_MX_1U,123.825,-0.02,0,bottom
U27,SLSS49E-3,SLSS49E_MX_1U,142.875,-0.02,0,bottom
U28,SLSS49E-3,SLSS49E_MX_1U,57.15,-23.8325,0,bottom
U29,SLSS49E-3,SLSS49E_MX_1U,66.675,-42.8825,0,bottom
U3,SLSS49E-3,SLSS49E_MX_2U,257.175,-24.68245,0,bottom
U30,SLSS49E-3,SLSS49E_MX_1U,71.4375,-61.9325,0,bottom
U31,SLSS49E-3,SLSS49E_MX_1U,61.9125,-80.9825,0,bottom
U32,SLSS49E-3,SLSS49E_MX_1U,161.925,-0.02,0,bottom
U33,SLSS49E-3,SLSS49E_MX_2.25U,11.90625,-81.83245,0,bottom
U34,SLSS49E-3,SLSS49E_MX_1U,76.2,-23.8325,0,bottom
U35,SLSS49E-3,SLSS49E_MX_1U,85.725,-42.8825,0,bottom
U36,SLSS49E-3,SLSS49E_MX_1U,90.4875,-61.9325,0,bottom
U37,SLSS49E-3,SLSS49E_MX_1U,80.9625,-80.9825,0,bottom
U38,SLSS49E-3,SLSS49E_MX_1U,185.7375,-0.02,0,bottom
U39,SLSS49E-3,SLSS49E_MX_1U,204.7875,-0.02,0,bottom
U4,SLSS49E-3,SLSS49E_MX_1.5U,4.7625,-100.0325,0,bottom
U40,SLSS49E-3,SLSS49E_MX_1U,95.25,-23.8325,0,bottom
U41,SLSS49E-3,SLSS49E_MX_1U,104.775,-42.8825,0,bottom
U42,SLSS49E-3,SLSS49E_MX_1U,109.5375,-61.9325,0,bottom
U43,SLSS49E-3,SLSS49E_MX_1U,100.0125,-80.9825,0,bottom
U44,SLSS49E-3,SLSS49E_MX_1U,223.8375,-0.02,0,bottom
U45,SLSS49E-3,SLSS49E_MX_1U,242.8875,-0.02,0,bottom
U46,SLSS49E-3,SLSS49E_MX_1U,114.3,-23.8325,0,bottom
U47,SLSS49E-3,SLSS49E_MX_1U,123.825,-42.8825,0,bottom
U48,SLSS49E-3,SLSS49E_MX_1U,128.5875,-61.9325,0,bottom
U49,SLSS49E-3,SLSS49E_MX_1U,119.0625,-80.9825,0,bottom
U5,SLSS49E-3,SLSS49E_MX_1U,28.575,-100.0325,0,bottom
U50,SLSS49E-3,SLSS49E_MX_1U,266.7,-0.02,0,bottom
U51,CD74HC4067SM,TSSOP-24_4.4x7.8mm_P0.65mm,138.1125,-55.959375,180,bottom
U52,SLSS49E-3,SLSS49E_MX_1U,133.35,-23.8325,0,bottom
U53,SLSS49E-3,SLSS49E_MX_1U,142.875,-42.8825,0,bottom
U54,SLSS49E-3,SLSS49E_MX_1U,147.6375,-61.9325,0,bottom
U55,SLSS49E-3,SLSS49E_MX_1U,138.1125,-80.9825,0,bottom
U56,CD74HC4067SM,TSSOP-24_4.4x7.8mm_P0.65mm,61.9125,-55.959375,180,bottom
U57,SLSS49E-3,SLSS49E_MX_2.75U,250.03125,-81.83245,0,bottom
U58,SLSS49E-3,SLSS49E_MX_1U,152.4,-23.8325,0,bottom
U59,SLSS49E-3,SLSS49E_MX_1U,161.925,-42.8825,0,bottom
U6,SLSS49E-3,SLSS49E_MX_1.5U,52.3875,-100.0325,0,bottom
U60,SLSS49E-3,SLSS49E_MX_1U,166.6875,-61.9325,0,bottom
U61,SLSS49E-3,SLSS49E_MX_1U,157.1625,-80.9825,0,bottom
U62,CD74HC4067SM,TSSOP-24_4.4x7.8mm_P0.65mm,176.2125,-55.959375,180,bottom
U64,SLSS49E-3,SLSS49E_MX_1U,171.45,-23.8325,0,bottom
U65,SLSS49E-3,SLSS49E_MX_1U,180.975,-42.8825,0,bottom
U66,SLSS49E-3,SLSS49E_MX_1U,185.7375,-61.9325,0,bottom
U67,SLSS49E-3,SLSS49E_MX_1U,176.2125,-80.9825,0,bottom
U68,CD74HC4067SM,TSSOP-24_4.4x7.8mm_P0.65mm,214.3125,-55.959375,180,bottom
U69,CD74HC4067SM,TSSOP-24_4.4x7.8mm_P0.65mm,254.79375,-54.76875,180,bottom
U7,SLSS49E-3,SLSS49E_MX_7U-ReversedStabilizers,133.35,-99.14255,0,bottom
U70,SLSS49E-3,SLSS49E_MX_1U,190.5,-23.8325,0,bottom
U71,SLSS49E-3,SLSS49E_MX_1U,200.025,-42.8825,0,bottom
U72,SLSS49E-3,SLSS49E_MX_1U,204.7875,-61.9325,0,bottom
U73,SLSS49E-3,SLSS49E_MX_1U,195.2625,-80.9825,0,bottom
U74,CD74HC4067SM,TSSOP-24_4.4x7.8mm_P0.65mm,319.0875,-55.959375,180,bottom
U75,SLSS49E-3,SLSS49E_MX_1U,290.5125,-0.02,0,bottom
U76,SLSS49E-3,SLSS49E_MX_1U,209.55,-23.8325,0,bottom
U77,SLSS49E-3,SLSS49E_MX_1U,219.075,-42.8825,0,bottom
U78,SLSS49E-3,SLSS49E_MX_1U,223.8375,-61.9325,0,bottom
U79,SLSS49E-3,SLSS49E_MX_1U,214.3125,-80.9825,0,bottom
U8,SLSS49E-3,SLSS49E_MX_1.5U,214.3125,-100.0325,0,bottom
